Subject,TestGroup,Split,Classifier,Accuracy
365,V2,3,sklearn_logistic_reg,0.5
365,V2,3,SVM,0.6666666666666666
365,V2,3,Correlation,0.6666666666666666
365,V2,4,kNN,0.6666666666666666
365,V2,4,sklearn_logistic_reg,0.5
365,V2,4,SVM,0.5
365,V2,4,Correlation,0.5
365,V3,0,kNN,0.75
365,V3,0,sklearn_logistic_reg,0.75
365,V3,0,SVM,0.75
365,V3,0,Correlation,0.75
365,V3,1,kNN,0.6666666666666666
365,V3,1,sklearn_logistic_reg,0.6666666666666666
365,V3,1,SVM,0.6666666666666666
365,V3,1,Correlation,0.6666666666666666
365,V3,2,kNN,0.16666666666666666
365,V3,2,sklearn_logistic_reg,0.16666666666666666
365,V3,2,SVM,0.16666666666666666
365,V3,2,Correlation,0.16666666666666666
365,V3,3,kNN,0.5
365,V3,3,sklearn_logistic_reg,0.5
365,V3,3,SVM,0.5
365,V3,3,Correlation,0.5
365,V3,4,kNN,0.5
365,V3,4,sklearn_logistic_reg,0.5
365,V3,4,SVM,0.5
365,V3,4,Correlation,0.5
382,V1,0,kNN,0.5
382,V1,0,sklearn_logistic_reg,0.5
382,V1,0,SVM,0.5
382,V1,0,Correlation,0.5
382,V1,1,kNN,0.6666666666666666
382,V1,1,sklearn_logistic_reg,0.8333333333333334
382,V1,1,SVM,0.6666666666666666
382,V1,1,Correlation,0.6666666666666666
382,V1,2,kNN,0.5
382,V1,2,sklearn_logistic_reg,0.8333333333333334
382,V1,2,SVM,0.8333333333333334
382,V1,2,Correlation,0.5
382,V1,3,kNN,0.5
382,V1,3,sklearn_logistic_reg,0.5
382,V1,3,SVM,0.3333333333333333
382,V1,3,Correlation,0.5
382,V1,4,kNN,0.8333333333333334
382,V1,4,sklearn_logistic_reg,0.8333333333333334
382,V1,4,SVM,0.8333333333333334
382,V1,4,Correlation,0.8333333333333334
382,V2,0,kNN,0.625
382,V2,0,sklearn_logistic_reg,0.5
382,V2,0,SVM,0.5
382,V2,0,Correlation,0.625
382,V2,1,kNN,0.5
382,V2,1,sklearn_logistic_reg,0.6666666666666666
382,V2,1,SVM,0.5
382,V2,1,Correlation,0.5
382,V2,2,kNN,0.6666666666666666
382,V2,2,sklearn_logistic_reg,0.6666666666666666
382,V2,2,SVM,0.6666666666666666
382,V2,2,Correlation,0.6666666666666666
382,V2,3,kNN,0.3333333333333333
382,V2,3,sklearn_logistic_reg,0.6666666666666666
382,V2,3,SVM,0.5
382,V2,3,Correlation,0.5
382,V2,4,kNN,0.5
382,V2,4,sklearn_logistic_reg,0.6666666666666666
382,V2,4,SVM,0.6666666666666666
382,V2,4,Correlation,0.6666666666666666
382,V3,0,kNN,0.5
382,V3,0,sklearn_logistic_reg,0.625
382,V3,0,SVM,0.5
382,V3,0,Correlation,0.5
382,V3,1,kNN,0.5
382,V3,1,sklearn_logistic_reg,0.5
382,V3,1,SVM,0.5
382,V3,1,Correlation,0.5
382,V3,2,kNN,0.3333333333333333
382,V3,2,sklearn_logistic_reg,0.3333333333333333
382,V3,2,SVM,0.3333333333333333
382,V3,2,Correlation,0.3333333333333333
382,V3,3,kNN,0.6666666666666666
382,V3,3,sklearn_logistic_reg,0.5
382,V3,3,SVM,0.6666666666666666
382,V3,3,Correlation,0.6666666666666666
382,V3,4,kNN,0.5
382,V3,4,sklearn_logistic_reg,0.5
382,V3,4,SVM,0.5
382,V3,4,Correlation,0.5
553,V1,0,kNN,0.5
553,V1,0,sklearn_logistic_reg,0.75
553,V1,0,SVM,0.75
553,V1,0,Correlation,0.625
553,V1,1,kNN,0.5
553,V1,1,sklearn_logistic_reg,0.5
553,V1,1,SVM,0.5
553,V1,1,Correlation,0.5
553,V1,2,kNN,0.6666666666666666
553,V1,2,sklearn_logistic_reg,0.6666666666666666
553,V1,2,SVM,0.5
553,V1,2,Correlation,0.5
553,V1,3,kNN,0.6666666666666666
553,V1,3,sklearn_logistic_reg,0.6666666666666666
553,V1,3,SVM,0.6666666666666666
553,V1,3,Correlation,0.6666666666666666
553,V1,4,kNN,0.5
553,V1,4,sklearn_logistic_reg,0.6666666666666666
553,V1,4,SVM,0.5
553,V1,4,Correlation,0.5
553,V2,0,kNN,0.875
553,V2,0,sklearn_logistic_reg,0.875
553,V2,0,SVM,0.875
553,V2,0,Correlation,0.75
553,V2,1,kNN,0.5
553,V2,1,sklearn_logistic_reg,0.6666666666666666
553,V2,1,SVM,0.6666666666666666
553,V2,1,Correlation,0.6666666666666666
553,V2,2,kNN,0.6666666666666666
553,V2,2,sklearn_logistic_reg,1.0
553,V2,2,SVM,0.8333333333333334
553,V2,2,Correlation,0.6666666666666666
553,V2,3,kNN,0.6666666666666666
553,V2,3,sklearn_logistic_reg,1.0
553,V2,3,SVM,0.6666666666666666
553,V2,3,Correlation,0.6666666666666666
553,V2,4,kNN,0.6666666666666666
553,V2,4,sklearn_logistic_reg,1.0
553,V2,4,SVM,0.8333333333333334
553,V2,4,Correlation,0.6666666666666666
553,V3,0,kNN,0.625
553,V3,0,sklearn_logistic_reg,0.75
553,V3,0,SVM,0.875
553,V3,0,Correlation,0.625
553,V3,1,kNN,0.5
553,V3,1,sklearn_logistic_reg,0.8333333333333334
553,V3,1,SVM,0.6666666666666666
553,V3,1,Correlation,0.3333333333333333
553,V3,2,kNN,0.5
553,V3,2,sklearn_logistic_reg,0.6666666666666666
553,V3,2,SVM,0.5
553,V3,2,Correlation,0.5
553,V3,3,kNN,0.5
553,V3,3,sklearn_logistic_reg,0.8333333333333334
553,V3,3,SVM,0.8333333333333334
553,V3,3,Correlation,0.6666666666666666
553,V3,4,kNN,0.5
553,V3,4,sklearn_logistic_reg,0.6666666666666666
553,V3,4,SVM,0.5
553,V3,4,Correlation,0.5
584,V1,0,kNN,0.625
584,V1,0,sklearn_logistic_reg,0.625
584,V1,0,SVM,0.625
584,V1,0,Correlation,0.625
584,V1,1,kNN,0.3333333333333333
584,V1,1,sklearn_logistic_reg,0.3333333333333333
584,V1,1,SVM,0.3333333333333333
584,V1,1,Correlation,0.3333333333333333
584,V1,2,kNN,0.6666666666666666
584,V1,2,sklearn_logistic_reg,0.8333333333333334
584,V1,2,SVM,0.8333333333333334
584,V1,2,Correlation,0.8333333333333334
584,V1,3,kNN,0.6666666666666666
584,V1,3,sklearn_logistic_reg,0.6666666666666666
584,V1,3,SVM,0.8333333333333334
584,V1,3,Correlation,0.6666666666666666
584,V1,4,kNN,0.5
584,V1,4,sklearn_logistic_reg,0.6666666666666666
584,V1,4,SVM,0.5
584,V1,4,Correlation,0.5
584,V2,0,kNN,0.125
584,V2,0,sklearn_logistic_reg,0.5
584,V2,0,SVM,0.5
584,V2,0,Correlation,0.125
584,V2,1,kNN,0.6666666666666666
584,V2,1,sklearn_logistic_reg,0.5
584,V2,1,SVM,0.5
584,V2,1,Correlation,0.8333333333333334
584,V2,2,kNN,0.5
584,V2,2,sklearn_logistic_reg,0.5
584,V2,2,SVM,0.5
584,V2,2,Correlation,0.5
584,V2,3,kNN,0.3333333333333333
584,V2,3,sklearn_logistic_reg,0.5
584,V2,3,SVM,0.5
584,V2,3,Correlation,0.3333333333333333
584,V2,4,kNN,0.5
584,V2,4,sklearn_logistic_reg,0.6666666666666666
584,V2,4,SVM,0.5
584,V2,4,Correlation,0.5
584,V3,0,kNN,0.625
584,V3,0,sklearn_logistic_reg,0.625
584,V3,0,SVM,0.5
584,V3,0,Correlation,0.625
584,V3,1,kNN,0.5
584,V3,1,sklearn_logistic_reg,0.5
584,V3,1,SVM,0.5
584,V3,1,Correlation,0.5
584,V3,2,kNN,0.16666666666666666
584,V3,2,sklearn_logistic_reg,0.3333333333333333
584,V3,2,SVM,0.16666666666666666
584,V3,2,Correlation,0.16666666666666666
584,V3,3,kNN,0.8333333333333334
584,V3,3,sklearn_logistic_reg,0.6666666666666666
584,V3,3,SVM,0.6666666666666666
584,V3,3,Correlation,0.8333333333333334
584,V3,4,kNN,0.5
584,V3,4,sklearn_logistic_reg,0.5
584,V3,4,SVM,0.3333333333333333
584,V3,4,Correlation,0.5
602,V1,0,kNN,0.75
602,V1,0,sklearn_logistic_reg,0.5
602,V1,0,SVM,0.625
602,V1,0,Correlation,0.75
602,V1,1,kNN,0.5
602,V1,1,sklearn_logistic_reg,0.6666666666666666
602,V1,1,SVM,0.6666666666666666
602,V1,1,Correlation,0.3333333333333333
602,V1,2,kNN,0.3333333333333333
602,V1,2,sklearn_logistic_reg,0.5
602,V1,2,SVM,0.3333333333333333
602,V1,2,Correlation,0.6666666666666666
602,V1,3,kNN,0.3333333333333333
602,V1,3,sklearn_logistic_reg,0.3333333333333333
602,V1,3,SVM,0.5
602,V1,3,Correlation,0.3333333333333333
602,V1,4,kNN,0.5
602,V1,4,sklearn_logistic_reg,0.3333333333333333
602,V1,4,SVM,0.5
602,V1,4,Correlation,0.5
602,V2,0,kNN,0.5
602,V2,0,sklearn_logistic_reg,0.625
602,V2,0,SVM,0.625
602,V2,0,Correlation,0.5
602,V2,1,kNN,0.8333333333333334
602,V2,1,sklearn_logistic_reg,0.8333333333333334
602,V2,1,SVM,0.6666666666666666
602,V2,1,Correlation,0.6666666666666666
602,V2,2,kNN,0.6666666666666666
602,V2,2,sklearn_logistic_reg,0.8333333333333334
602,V2,2,SVM,0.6666666666666666
602,V2,2,Correlation,0.6666666666666666
602,V2,3,kNN,0.8333333333333334
602,V2,3,sklearn_logistic_reg,0.6666666666666666
602,V2,3,SVM,0.6666666666666666
602,V2,3,Correlation,0.8333333333333334
602,V2,4,kNN,0.5
602,V2,4,sklearn_logistic_reg,0.8333333333333334
602,V2,4,SVM,0.5
602,V2,4,Correlation,0.5
602,V3,0,kNN,0.625
602,V3,0,sklearn_logistic_reg,0.625
602,V3,0,SVM,0.5
602,V3,0,Correlation,0.625
602,V3,1,kNN,0.5
602,V3,1,sklearn_logistic_reg,0.5
602,V3,1,SVM,0.5
602,V3,1,Correlation,0.5
602,V3,2,kNN,0.6666666666666666
602,V3,2,sklearn_logistic_reg,0.6666666666666666
602,V3,2,SVM,0.6666666666666666
602,V3,2,Correlation,0.6666666666666666
602,V3,3,kNN,0.6666666666666666
602,V3,3,sklearn_logistic_reg,0.8333333333333334
602,V3,3,SVM,0.8333333333333334
602,V3,3,Correlation,0.8333333333333334
602,V3,4,kNN,0.5
602,V3,4,sklearn_logistic_reg,0.5
602,V3,4,SVM,0.6666666666666666
602,V3,4,Correlation,0.5
604,V1,0,kNN,0.5
604,V1,0,sklearn_logistic_reg,0.5
604,V1,0,SVM,0.5
604,V1,0,Correlation,0.5
604,V1,1,kNN,0.5
604,V1,1,sklearn_logistic_reg,0.6666666666666666
604,V1,1,SVM,0.5
604,V1,1,Correlation,0.6666666666666666
604,V1,2,kNN,0.6666666666666666
604,V1,2,sklearn_logistic_reg,0.5
604,V1,2,SVM,0.6666666666666666
604,V1,2,Correlation,0.6666666666666666
604,V1,3,kNN,0.5
604,V1,3,sklearn_logistic_reg,0.6666666666666666
604,V1,3,SVM,0.5
604,V1,3,Correlation,0.5
604,V1,4,kNN,0.5
604,V1,4,sklearn_logistic_reg,0.5
604,V1,4,SVM,0.5
604,V1,4,Correlation,0.5
604,V2,0,kNN,0.625
604,V2,0,sklearn_logistic_reg,0.625
604,V2,0,SVM,0.625
604,V2,0,Correlation,0.625
604,V2,1,kNN,0.5
604,V2,1,sklearn_logistic_reg,0.5
604,V2,1,SVM,0.5
604,V2,1,Correlation,0.5
604,V2,2,kNN,0.5
604,V2,2,sklearn_logistic_reg,0.3333333333333333
604,V2,2,SVM,0.5
604,V2,2,Correlation,0.3333333333333333
604,V2,3,kNN,0.5
604,V2,3,sklearn_logistic_reg,0.5
604,V2,3,SVM,0.5
604,V2,3,Correlation,0.6666666666666666
604,V2,4,kNN,0.5
604,V2,4,sklearn_logistic_reg,0.6666666666666666
604,V2,4,SVM,0.5
604,V2,4,Correlation,0.5
604,V3,0,kNN,0.75
604,V3,0,sklearn_logistic_reg,0.625
604,V3,0,SVM,0.625
604,V3,0,Correlation,0.625
604,V3,1,kNN,0.5
604,V3,1,sklearn_logistic_reg,0.3333333333333333
604,V3,1,SVM,0.5
604,V3,1,Correlation,0.5
604,V3,2,kNN,0.5
604,V3,2,sklearn_logistic_reg,0.5
604,V3,2,SVM,0.5
604,V3,2,Correlation,0.3333333333333333
604,V3,3,kNN,1.0
604,V3,3,sklearn_logistic_reg,0.6666666666666666
604,V3,3,SVM,0.5
604,V3,3,Correlation,0.6666666666666666
604,V3,4,kNN,0.6666666666666666
604,V3,4,sklearn_logistic_reg,0.5
604,V3,4,SVM,0.6666666666666666
604,V3,4,Correlation,0.6666666666666666
605,V1,0,kNN,0.625
605,V1,0,sklearn_logistic_reg,0.625
605,V1,0,SVM,0.625
605,V1,0,Correlation,0.625
605,V1,1,kNN,0.6666666666666666
605,V1,1,sklearn_logistic_reg,0.6666666666666666
605,V1,1,SVM,0.8333333333333334
605,V1,1,Correlation,0.6666666666666666
605,V1,2,kNN,0.6666666666666666
605,V1,2,sklearn_logistic_reg,1.0
605,V1,2,SVM,1.0
605,V1,2,Correlation,0.6666666666666666
605,V1,3,kNN,0.5
605,V1,3,sklearn_logistic_reg,0.5
605,V1,3,SVM,0.5
605,V1,3,Correlation,0.5
605,V1,4,kNN,0.6666666666666666
605,V1,4,sklearn_logistic_reg,0.6666666666666666
605,V1,4,SVM,0.6666666666666666
605,V1,4,Correlation,0.8333333333333334
605,V2,0,kNN,0.75
605,V2,0,sklearn_logistic_reg,0.75
605,V2,0,SVM,0.75
605,V2,0,Correlation,0.75
605,V2,1,kNN,0.5
605,V2,1,sklearn_logistic_reg,0.5
605,V2,1,SVM,0.5
605,V2,1,Correlation,0.5
605,V2,2,kNN,0.5
605,V2,2,sklearn_logistic_reg,0.5
605,V2,2,SVM,0.5
605,V2,2,Correlation,0.5
605,V2,3,kNN,0.6666666666666666
605,V2,3,sklearn_logistic_reg,0.8333333333333334
605,V2,3,SVM,0.6666666666666666
605,V2,3,Correlation,0.8333333333333334
605,V2,4,kNN,1.0
605,V2,4,sklearn_logistic_reg,1.0
605,V2,4,SVM,1.0
605,V2,4,Correlation,1.0
605,V3,0,kNN,0.75
605,V3,0,sklearn_logistic_reg,0.625
605,V3,0,SVM,0.625
605,V3,0,Correlation,0.625
605,V3,1,kNN,0.8333333333333334
605,V3,1,sklearn_logistic_reg,0.8333333333333334
605,V3,1,SVM,1.0
605,V3,1,Correlation,1.0
605,V3,2,kNN,0.8333333333333334
605,V3,2,sklearn_logistic_reg,1.0
605,V3,2,SVM,1.0
605,V3,2,Correlation,0.8333333333333334
605,V3,3,kNN,0.8333333333333334
605,V3,3,sklearn_logistic_reg,0.6666666666666666
605,V3,3,SVM,0.8333333333333334
605,V3,3,Correlation,0.8333333333333334
605,V3,4,kNN,0.8333333333333334
605,V3,4,sklearn_logistic_reg,0.8333333333333334
605,V3,4,SVM,0.8333333333333334
605,V3,4,Correlation,0.8333333333333334
606,V1,0,kNN,0.625
606,V1,0,sklearn_logistic_reg,0.75
606,V1,0,SVM,0.625
606,V1,0,Correlation,0.625
606,V1,1,kNN,0.5
606,V1,1,sklearn_logistic_reg,0.8333333333333334
606,V1,1,SVM,0.5
606,V1,1,Correlation,0.5
606,V1,2,kNN,0.6666666666666666
606,V1,2,sklearn_logistic_reg,0.5
606,V1,2,SVM,0.6666666666666666
606,V1,2,Correlation,0.6666666666666666
606,V1,3,kNN,0.5
606,V1,3,sklearn_logistic_reg,0.5
606,V1,3,SVM,0.3333333333333333
606,V1,3,Correlation,0.3333333333333333
606,V1,4,kNN,0.5
606,V1,4,sklearn_logistic_reg,0.3333333333333333
606,V1,4,SVM,0.16666666666666666
606,V1,4,Correlation,0.5
606,V2,0,kNN,0.625
606,V2,0,sklearn_logistic_reg,0.75
606,V2,0,SVM,0.875
606,V2,0,Correlation,0.875
606,V2,1,kNN,0.8333333333333334
606,V2,1,sklearn_logistic_reg,0.8333333333333334
606,V2,1,SVM,0.6666666666666666
606,V2,1,Correlation,0.8333333333333334
606,V2,2,kNN,0.5
606,V2,2,sklearn_logistic_reg,0.5
606,V2,2,SVM,0.3333333333333333
606,V2,2,Correlation,0.3333333333333333
606,V2,3,kNN,0.8333333333333334
606,V2,3,sklearn_logistic_reg,1.0
606,V2,3,SVM,0.6666666666666666
606,V2,3,Correlation,0.5
606,V2,4,kNN,0.6666666666666666
606,V2,4,sklearn_logistic_reg,0.6666666666666666
606,V2,4,SVM,0.6666666666666666
606,V2,4,Correlation,0.6666666666666666
606,V3,0,kNN,0.5
606,V3,0,sklearn_logistic_reg,0.625
606,V3,0,SVM,0.5
606,V3,0,Correlation,0.5
606,V3,1,kNN,0.6666666666666666
606,V3,1,sklearn_logistic_reg,0.6666666666666666
606,V3,1,SVM,0.5
606,V3,1,Correlation,0.6666666666666666
606,V3,2,kNN,0.3333333333333333
606,V3,2,sklearn_logistic_reg,0.5
606,V3,2,SVM,0.16666666666666666
606,V3,2,Correlation,0.3333333333333333
606,V3,3,kNN,0.8333333333333334
606,V3,3,sklearn_logistic_reg,0.6666666666666666
606,V3,3,SVM,0.8333333333333334
606,V3,3,Correlation,0.6666666666666666
606,V3,4,kNN,0.5
606,V3,4,sklearn_logistic_reg,0.6666666666666666
606,V3,4,SVM,0.8333333333333334
606,V3,4,Correlation,0.8333333333333334
673,V1,0,kNN,0.5
673,V1,0,sklearn_logistic_reg,0.75
673,V1,0,SVM,0.625
673,V1,0,Correlation,0.5
673,V1,1,kNN,0.5
673,V1,1,sklearn_logistic_reg,0.6666666666666666
673,V1,1,SVM,0.5
