Subject,TestGroup,Split,Classifier,Accuracy
365,N,1,sklearn_logistic_reg,0.1111111111111111
365,N,1,SVM,0.2222222222222222
365,N,1,Correlation,0.2222222222222222
365,N,2,kNN,0.2222222222222222
365,N,2,sklearn_logistic_reg,0.3333333333333333
365,N,2,SVM,0.3333333333333333
365,N,2,Correlation,0.1111111111111111
365,N,3,kNN,0.1111111111111111
365,N,3,sklearn_logistic_reg,0.1111111111111111
365,N,3,SVM,0.1111111111111111
365,N,3,Correlation,0.0
365,N,4,kNN,0.2222222222222222
365,N,4,sklearn_logistic_reg,0.1111111111111111
365,N,4,SVM,0.2222222222222222
365,N,4,Correlation,0.1111111111111111
382,S,0,kNN,0.0
382,S,0,sklearn_logistic_reg,0.08333333333333333
382,S,0,SVM,0.16666666666666666
382,S,0,Correlation,0.0
382,S,1,kNN,0.0
382,S,1,sklearn_logistic_reg,0.0
382,S,1,SVM,0.1111111111111111
382,S,1,Correlation,0.0
382,S,2,kNN,0.0
382,S,2,sklearn_logistic_reg,0.0
382,S,2,SVM,0.0
382,S,2,Correlation,0.0
382,S,3,kNN,0.0
382,S,3,sklearn_logistic_reg,0.1111111111111111
382,S,3,SVM,0.1111111111111111
382,S,3,Correlation,0.0
382,S,4,kNN,0.1111111111111111
382,S,4,sklearn_logistic_reg,0.0
382,S,4,SVM,0.1111111111111111
382,S,4,Correlation,0.1111111111111111
382,N,0,kNN,0.0
382,N,0,sklearn_logistic_reg,0.08333333333333333
382,N,0,SVM,0.16666666666666666
382,N,0,Correlation,0.0
382,N,1,kNN,0.0
382,N,1,sklearn_logistic_reg,0.0
382,N,1,SVM,0.1111111111111111
382,N,1,Correlation,0.0
382,N,2,kNN,0.0
382,N,2,sklearn_logistic_reg,0.1111111111111111
382,N,2,SVM,0.2222222222222222
382,N,2,Correlation,0.0
382,N,3,kNN,0.0
382,N,3,sklearn_logistic_reg,0.1111111111111111
382,N,3,SVM,0.1111111111111111
382,N,3,Correlation,0.1111111111111111
382,N,4,kNN,0.0
382,N,4,sklearn_logistic_reg,0.0
382,N,4,SVM,0.0
382,N,4,Correlation,0.0
553,S,0,kNN,0.08333333333333333
553,S,0,sklearn_logistic_reg,0.08333333333333333
553,S,0,SVM,0.16666666666666666
553,S,0,Correlation,0.16666666666666666
553,S,1,kNN,0.1111111111111111
553,S,1,sklearn_logistic_reg,0.1111111111111111
553,S,1,SVM,0.2222222222222222
553,S,1,Correlation,0.1111111111111111
553,S,2,kNN,0.1111111111111111
553,S,2,sklearn_logistic_reg,0.0
553,S,2,SVM,0.0
553,S,2,Correlation,0.0
553,S,3,kNN,0.0
553,S,3,sklearn_logistic_reg,0.1111111111111111
553,S,3,SVM,0.1111111111111111
553,S,3,Correlation,0.0
553,S,4,kNN,0.2222222222222222
553,S,4,sklearn_logistic_reg,0.1111111111111111
553,S,4,SVM,0.1111111111111111
553,S,4,Correlation,0.2222222222222222
553,N,0,kNN,0.08333333333333333
553,N,0,sklearn_logistic_reg,0.16666666666666666
553,N,0,SVM,0.08333333333333333
553,N,0,Correlation,0.08333333333333333
553,N,1,kNN,0.1111111111111111
553,N,1,sklearn_logistic_reg,0.0
553,N,1,SVM,0.0
553,N,1,Correlation,0.1111111111111111
553,N,2,kNN,0.0
553,N,2,sklearn_logistic_reg,0.0
553,N,2,SVM,0.1111111111111111
553,N,2,Correlation,0.0
553,N,3,kNN,0.1111111111111111
553,N,3,sklearn_logistic_reg,0.0
553,N,3,SVM,0.1111111111111111
553,N,3,Correlation,0.1111111111111111
553,N,4,kNN,0.0
553,N,4,sklearn_logistic_reg,0.1111111111111111
553,N,4,SVM,0.2222222222222222
553,N,4,Correlation,0.1111111111111111
584,S,0,kNN,0.08333333333333333
584,S,0,sklearn_logistic_reg,0.16666666666666666
584,S,0,SVM,0.25
584,S,0,Correlation,0.0
584,S,1,kNN,0.1111111111111111
584,S,1,sklearn_logistic_reg,0.0
584,S,1,SVM,0.1111111111111111
584,S,1,Correlation,0.0
584,S,2,kNN,0.0
584,S,2,sklearn_logistic_reg,0.1111111111111111
584,S,2,SVM,0.3333333333333333
584,S,2,Correlation,0.0
584,S,3,kNN,0.1111111111111111
584,S,3,sklearn_logistic_reg,0.1111111111111111
584,S,3,SVM,0.2222222222222222
584,S,3,Correlation,0.2222222222222222
584,S,4,kNN,0.0
584,S,4,sklearn_logistic_reg,0.1111111111111111
584,S,4,SVM,0.1111111111111111
584,S,4,Correlation,0.0
584,N,0,kNN,0.16666666666666666
584,N,0,sklearn_logistic_reg,0.25
584,N,0,SVM,0.16666666666666666
584,N,0,Correlation,0.16666666666666666
584,N,1,kNN,0.0
584,N,1,sklearn_logistic_reg,0.1111111111111111
584,N,1,SVM,0.1111111111111111
584,N,1,Correlation,0.0
584,N,2,kNN,0.0
584,N,2,sklearn_logistic_reg,0.1111111111111111
584,N,2,SVM,0.1111111111111111
584,N,2,Correlation,0.0
584,N,3,kNN,0.2222222222222222
584,N,3,sklearn_logistic_reg,0.1111111111111111
584,N,3,SVM,0.1111111111111111
584,N,3,Correlation,0.0
584,N,4,kNN,0.0
584,N,4,sklearn_logistic_reg,0.1111111111111111
584,N,4,SVM,0.2222222222222222
584,N,4,Correlation,0.0
602,S,0,kNN,0.16666666666666666
602,S,0,sklearn_logistic_reg,0.16666666666666666
602,S,0,SVM,0.16666666666666666
602,S,0,Correlation,0.25
602,S,1,kNN,0.1111111111111111
602,S,1,sklearn_logistic_reg,0.1111111111111111
602,S,1,SVM,0.1111111111111111
602,S,1,Correlation,0.1111111111111111
602,S,2,kNN,0.0
602,S,2,sklearn_logistic_reg,0.0
602,S,2,SVM,0.0
602,S,2,Correlation,0.0
602,S,3,kNN,0.1111111111111111
602,S,3,sklearn_logistic_reg,0.0
602,S,3,SVM,0.2222222222222222
602,S,3,Correlation,0.1111111111111111
602,S,4,kNN,0.2222222222222222
602,S,4,sklearn_logistic_reg,0.2222222222222222
602,S,4,SVM,0.2222222222222222
602,S,4,Correlation,0.2222222222222222
602,N,0,kNN,0.0
602,N,0,sklearn_logistic_reg,0.0
602,N,0,SVM,0.0
602,N,0,Correlation,0.0
602,N,1,kNN,0.2222222222222222
602,N,1,sklearn_logistic_reg,0.2222222222222222
